25-01-31 09:14:16.298 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerRebalanceListenerInvoker - [Consumer clientId=consumer-weekly-sentiments-group-1, groupId=weekly-sentiments-group] Revoke previously assigned partitions weekly-sentiments-0, weekly-sentiments-1, weekly-sentiments-2, weekly-sentiments-3, weekly-sentiments-4, weekly-sentiments-5 
25-01-31 09:14:16.299 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - weekly-sentiments-group: partitions revoked: [weekly-sentiments-0, weekly-sentiments-1, weekly-sentiments-2, weekly-sentiments-3, weekly-sentiments-4, weekly-sentiments-5] 
25-01-31 09:14:16.300 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-weekly-sentiments-group-1, groupId=weekly-sentiments-group] Member consumer-weekly-sentiments-group-1-c2e432ee-f593-463e-ac47-c3a5011e381d sending LeaveGroup request to coordinator b4-pkc-9q8rv.ap-south-2.aws.confluent.cloud:9092 (id: 2147483643 rack: null) due to the consumer unsubscribed from all topics 
25-01-31 09:14:16.300 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-weekly-sentiments-group-1, groupId=weekly-sentiments-group] Resetting generation and member id due to: consumer pro-actively leaving the group 
25-01-31 09:14:16.300 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-weekly-sentiments-group-1, groupId=weekly-sentiments-group] Request joining group due to: consumer pro-actively leaving the group 
25-01-31 09:14:16.300 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.LegacyKafkaConsumer - [Consumer clientId=consumer-weekly-sentiments-group-1, groupId=weekly-sentiments-group] Unsubscribed all topics or patterns and assigned partitions 
25-01-31 09:14:16.309 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-weekly-sentiments-group-1, groupId=weekly-sentiments-group] Resetting generation and member id due to: consumer pro-actively leaving the group 
25-01-31 09:14:16.309 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-weekly-sentiments-group-1, groupId=weekly-sentiments-group] Request joining group due to: consumer pro-actively leaving the group 
25-01-31 09:14:16.480 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.kafka.common.metrics.Metrics - Metrics scheduler closed 
25-01-31 09:14:16.480 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.metrics.JmxReporter 
25-01-31 09:14:16.480 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter 
25-01-31 09:14:16.480 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.kafka.common.metrics.Metrics - Metrics reporters closed 
25-01-31 09:14:16.487 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.kafka.common.utils.AppInfoParser - App info kafka.consumer for consumer-weekly-sentiments-group-1 unregistered 
25-01-31 09:14:16.488 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - weekly-sentiments-group: Consumer stopped 
